"member_id";"longitude";"latitude";"elevation";"time"
26;-3,790114;37,765327;580,831;2023-03-01 20:34:15
26;-3,789817;37,765405;579,201;2023-03-01 20:34:24
26;-3,789044;37,766031;572,425;2023-03-01 20:34:53
26;-3,78883;37,766192;570,855;2023-03-01 20:35:02
26;-3,788408;37,766563;568,443;2023-03-01 20:35:18
26;-3,788149;37,766747;567,496;2023-03-01 20:35:28
26;-3,787786;37,766957;566,095;2023-03-01 20:35:41
26;-3,787496;37,767189;563,432;2023-03-01 20:35:53
26;-3,787565;37,767303;563,043;2023-03-01 20:36:00
26;-3,787483;37,768324;557,854;2023-03-01 20:36:33
26;-3,787349;37,768671;557,05;2023-03-01 20:36:47
26;-3,787203;37,768674;556,847;2023-03-01 20:36:52
26;-3,787069;37,768608;556,421;2023-03-01 20:37:01
26;-3,787561;37,768732;552,819;2023-03-01 20:37:18
26;-3,787741;37,76885;552,084;2023-03-01 20:37:24
26;-3,788296;37,768842;551,699;2023-03-01 20:37:46
26;-3,788978;37,768949;553,083;2023-03-01 20:38:04
26;-3,789602;37,769216;553,421;2023-03-01 20:38:17
26;-3,789818;37,769295;553,86;2023-03-01 20:38:24
26;-3,789923;37,769339;554,632;2023-03-01 20:38:29
26;-3,79013;37,769439;555,823;2023-03-01 20:38:38
26;-3,790334;37,769531;556,211;2023-03-01 20:38:45
26;-3,790507;37,769682;556,258;2023-03-01 20:38:51
26;-3,790641;37,769848;555,869;2023-03-01 20:39:01
26;-3,790593;37,769944;555,404;2023-03-01 20:39:07
26;-3,790669;37,770096;555,024;2023-03-01 20:39:14
26;-3,790786;37,770258;555,008;2023-03-01 20:39:22
26;-3,790963;37,770524;554,66;2023-03-01 20:39:32
26;-3,791103;37,770685;554,496;2023-03-01 20:39:39
26;-3,791188;37,770912;554,679;2023-03-01 20:39:46
26;-3,791362;37,771117;555,062;2023-03-01 20:39:54
26;-3,791511;37,771218;556,69;2023-03-01 20:40:01
26;-3,791669;37,771411;557,608;2023-03-01 20:40:09
26;-3,791746;37,771535;558,03;2023-03-01 20:40:14
26;-3,791854;37,771624;558,419;2023-03-01 20:40:19
26;-3,791979;37,77175;559,091;2023-03-01 20:40:25
26;-3,792243;37,771985;559,63;2023-03-01 20:40:38
26;-3,792369;37,772139;560,057;2023-03-01 20:40:45
26;-3,792856;37,772588;560,841;2023-03-01 20:41:09
26;-3,792932;37,772771;560,263;2023-03-01 20:41:17
26;-3,793005;37,772958;560,099;2023-03-01 20:41:24
26;-3,793113;37,77319;560,082;2023-03-01 20:41:31
26;-3,793319;37,773426;559,435;2023-03-01 20:41:42
26;-3,793485;37,773555;559,651;2023-03-01 20:41:48
26;-3,79369;37,773768;559,211;2023-03-01 20:41:57
26;-3,793884;37,773951;558,668;2023-03-01 20:42:06
26;-3,794037;37,774118;558,427;2023-03-01 20:42:13
26;-3,794405;37,774511;557,429;2023-03-01 20:42:29
26;-3,794986;37,774795;557,074;2023-03-01 20:42:52
26;-3,795146;37,77486;556,692;2023-03-01 20:42:58
26;-3,795459;37,774958;555,815;2023-03-01 20:43:07
26;-3,795843;37,775071;554,465;2023-03-01 20:43:18
26;-3,796094;37,775157;553,014;2023-03-01 20:43:25
26;-3,796362;37,775216;552,459;2023-03-01 20:43:33
26;-3,796677;37,775299;550,63;2023-03-01 20:43:43
26;-3,796921;37,775373;549,666;2023-03-01 20:43:50
26;-3,797268;37,775475;548,226;2023-03-01 20:43:59
26;-3,797726;37,775631;546,624;2023-03-01 20:44:13
26;-3,797995;37,77571;545,279;2023-03-01 20:44:22
26;-3,798215;37,775748;544,418;2023-03-01 20:44:29
26;-3,798486;37,775782;543,016;2023-03-01 20:44:36
26;-3,798714;37,775742;542,691;2023-03-01 20:44:42
26;-3,798929;37,775674;542,679;2023-03-01 20:44:47
26;-3,799265;37,775594;542,242;2023-03-01 20:44:55
26;-3,799724;37,775561;542,008;2023-03-01 20:45:07
26;-3,799949;37,77557;542,072;2023-03-01 20:45:13
26;-3,800159;37,775625;541,461;2023-03-01 20:45:18
26;-3,800371;37,775724;541,223;2023-03-01 20:45:26
26;-3,800595;37,775845;540,874;2023-03-01 20:45:34
26;-3,800822;37,776014;540,459;2023-03-01 20:45:42
26;-3,800986;37,776186;540,065;2023-03-01 20:45:49
26;-3,801162;37,776469;539,433;2023-03-01 20:46:00
26;-3,801244;37,776728;537,87;2023-03-01 20:46:09
26;-3,801279;37,776862;536,629;2023-03-01 20:46:14
26;-3,800911;37,776968;535,21;2023-03-01 20:46:28
26;-3,800648;37,776911;535,077;2023-03-01 20:46:35
26;-3,800308;37,776871;534,229;2023-03-01 20:46:44
26;-3,799997;37,776811;532,466;2023-03-01 20:46:52
26;-3,799626;37,776748;530,279;2023-03-01 20:47:02
26;-3,79933;37,776701;530,014;2023-03-01 20:47:10
26;-3,799054;37,776656;529,87;2023-03-01 20:47:18
26;-3,798786;37,776637;529,808;2023-03-01 20:47:26
26;-3,798782;37,77682;529,637;2023-03-01 20:47:35
26;-3,798591;37,776933;528,426;2023-03-01 20:47:43
26;-3,798305;37,776869;528,029;2023-03-01 20:47:51
26;-3,79803;37,776846;527,257;2023-03-01 20:48:00
26;-3,797706;37,776755;526,808;2023-03-01 20:48:07
26;-3,797402;37,776817;526,491;2023-03-01 20:48:15
26;-3,797181;37,77678;526,069;2023-03-01 20:48:21
26;-3,796974;37,77674;526,094;2023-03-01 20:48:27
26;-3,796757;37,776717;526,022;2023-03-01 20:48:33
26;-3,796469;37,776669;525,645;2023-03-01 20:48:41
26;-3,796224;37,776619;525,094;2023-03-01 20:48:48
26;-3,795964;37,776563;524,422;2023-03-01 20:48:55
26;-3,79567;37,776507;524,292;2023-03-01 20:49:05
26;-3,795414;37,776447;524,091;2023-03-01 20:49:13
26;-3,795131;37,776336;524,449;2023-03-01 20:49:21
26;-3,794895;37,776237;524,094;2023-03-01 20:49:26
26;-3,794715;37,776425;523,699;2023-03-01 20:49:33
