"categoria";"temps"
"CATEGORIA C M";"00:52:19"
"CATEGORIA C M";"00:52:21"
"CATEGORIA B M";"00:52:23"
"CATEGORIA C F";"00:52:26"
"CATEGORIA C M";"00:52:27"
"CATEGORIA B F";"00:52:28"
"CATEGORIA C M";"00:52:28"
"CATEGORIA C M";"00:52:29"
"CATEGORIA C F";"00:52:30"
"CATEGORIA C M";"00:52:30"
"CATEGORIA B F";"00:52:31"
"CATEGORIA C M";"00:52:34"
"CATEGORIA C M";"00:52:37"
"CATEGORIA C F";"00:52:39"
"CATEGORIA C M";"00:52:40"
"CATEGORIA C F";"00:52:41"
"CATEGORIA B M";"00:52:41"
"CATEGORIA B F";"00:52:42"
"CATEGORIA C M";"00:52:42"
"CATEGORIA B F";"00:52:43"
"CATEGORIA C F";"00:52:46"
"CATEGORIA C F";"00:52:47"
"CATEGORIA C M";"00:52:47"
"CATEGORIA B M";"00:52:49"
"CATEGORIA C M";"00:52:53"
"CATEGORIA C M";"00:52:53"
"CATEGORIA C M";"00:52:54"
"CATEGORIA C F";"00:52:55"
"CATEGORIA C M";"00:52:56"
"CATEGORIA C M";"00:52:57"
"CATEGORIA B M";"00:52:57"
"CATEGORIA C F";"00:52:58"
"CATEGORIA C M";"00:52:58"
"CATEGORIA C M";"00:52:58"
"CATEGORIA C M";"00:52:58"
"CATEGORIA C M";"00:52:59"
"CATEGORIA C M";"00:53:00"
"CATEGORIA C M";"00:53:01"
"CATEGORIA C M";"00:53:01"
"CATEGORIA B M";"00:53:02"
"CATEGORIA C M";"00:53:03"
"CATEGORIA C M";"00:53:08"
"CATEGORIA C F";"00:53:10"
"CATEGORIA C M";"00:53:11"
"CATEGORIA C M";"00:53:14"
"CATEGORIA C M";"00:53:15"
"CATEGORIA B M";"00:53:16"
"CATEGORIA C M";"00:53:18"
"CATEGORIA C M";"00:53:20"
"CATEGORIA C M";"00:53:20"
"CATEGORIA B F";"00:53:21"
"CATEGORIA C M";"00:53:21"
"CATEGORIA C M";"00:53:26"
"CATEGORIA C F";"00:53:27"
"CATEGORIA B M";"00:53:28"
"CATEGORIA C M";"00:53:29"
"CATEGORIA C M";"00:53:30"
"CATEGORIA C M";"00:53:34"
"CATEGORIA C M";"00:53:36"
"CATEGORIA C M";"00:53:37"
"CATEGORIA C M";"00:53:37"
"CATEGORIA C F";"00:53:38"
"CATEGORIA C M";"00:53:38"
"CATEGORIA C M";"00:53:41"
"CATEGORIA C M";"00:53:44"
"CATEGORIA C M";"00:53:44"
"CATEGORIA C M";"00:53:44"
"CATEGORIA C M";"00:53:44"
"CATEGORIA C M";"00:53:45"
"CATEGORIA B F";"00:53:46"
"CATEGORIA C M";"00:53:46"
"CATEGORIA C M";"00:53:47"
"CATEGORIA C M";"00:53:47"
"CATEGORIA A M";"00:53:48"
"CATEGORIA C M";"00:53:48"
"CATEGORIA B F";"00:53:49"
"CATEGORIA C F";"00:53:52"
"CATEGORIA C M";"00:53:54"
"CATEGORIA C M";"00:53:56"
"CATEGORIA C F";"00:53:57"
"CATEGORIA B M";"00:53:59"
"CATEGORIA C M";"00:53:59"
"CATEGORIA C M";"00:54:00"
